QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,BOSTON_ACTION,GOLDEN STATE_SCORE,BOSTON_SCORE
1,11:49.0,,M. Smart makes 2-pt layup from 6 ft (assist by J. Tatum),0,2
1,11:22.0,K. Thompson makes 2-pt layup from 4 ft,,2,2
1,10:56.0,,Shooting foul by S. Curry (drawn by J. Tatum),2,2
1,10:56.0,,J. Tatum misses free throw 1 of 2,2,2
1,10:56.0,,Offensive rebound by Team,2,2
1,10:56.0,,J. Tatum makes free throw 2 of 2,2,3
1,10:44.0,Shooting foul by M. Smart (drawn by S. Curry),,2,3
1,10:44.0,S. Curry makes free throw 1 of 2,,3,3
1,10:44.0,S. Curry makes free throw 2 of 2,,4,3
1,10:35.0,,Turnover by M. Smart (bad pass),4,3
1,10:21.0,S. Curry misses 3-pt jump shot from 29 ft,,4,3
1,10:18.0,,Defensive rebound by J. Tatum,4,3
1,10:01.0,,J. Tatum makes 3-pt jump shot from 26 ft (assist by M. Smart),4,6
1,9:52.0,S. Curry misses 2-pt layup from 8 ft (block by R. Williams),,4,6
1,9:51.0,Offensive rebound by Team,,4,6
1,9:45.0,K. Thompson misses 2-pt jump shot from 23 ft,,4,6
1,9:43.0,,Defensive rebound by J. Tatum,4,6
1,9:33.0,,A. Horford misses 3-pt jump shot from 23 ft,4,6
1,9:32.0,,Offensive rebound by R. Williams,4,6
1,9:31.0,,R. Williams makes 2-pt layup from 3 ft,4,8
1,9:20.0,Turnover by S. Curry (lost ball; steal by M. Smart),,4,8
1,9:15.0,,J. Tatum makes 3-pt jump shot from 24 ft (assist by M. Smart),4,11
1,8:58.0,S. Curry misses 3-pt jump shot from 29 ft,,4,11
1,8:56.0,,Defensive rebound by R. Williams,4,11
1,8:47.0,,J. Tatum misses 2-pt jump shot from 15 ft,4,11
1,8:45.0,Defensive rebound by S. Curry,,4,11
1,8:41.0,O. Porter misses 3-pt jump shot from 24 ft,,4,11
1,8:39.0,,Defensive rebound by A. Horford,4,11
1,8:24.0,,M. Smart misses 3-pt jump shot from 25 ft,4,11
1,8:22.0,Defensive rebound by D. Green,,4,11
1,8:16.0,A. Wiggins misses 3-pt jump shot from 28 ft,,4,11
1,8:14.0,,Defensive rebound by A. Horford,4,11
1,7:57.0,,Turnover by M. Smart (bad pass; steal by D. Green),4,11
