HOME_ROSTER_0,HOME_ROSTER_1,HOME_ROSTER_2,HOME_ROSTER_3,HOME_ROSTER_4,AWAY_ROSTER_0,AWAY_ROSTER_1,AWAY_ROSTER_2,AWAY_ROSTER_3,AWAY_ROSTER_4,HOME_SCORE_NORM48,AWAY_SCORE_NORM48,TIME_ELAPSED,TIME_ENDING
M. Smart,J. Tatum,A. Horford,R. Williams,J. Brown,S. Curry,O. Porter,A. Wiggins,K. Thompson,D. Green,124,62,277,277
D. White,M. Smart,J. Tatum,A. Horford,J. Brown,S. Curry,K. Looney,A. Wiggins,K. Thompson,D. Green,62,125,138,436
D. White,M. Smart,G. Williams,A. Horford,J. Brown,S. Curry,K. Looney,O. Porter,A. Wiggins,K. Thompson,54,163,53,515
D. White,M. Smart,G. Williams,A. Horford,J. Brown,S. Curry,K. Looney,O. Porter,A. Wiggins,G. Payton,34,274,84,599
D. White,J. Tatum,G. Williams,R. Williams,J. Brown,S. Curry,J. Poole,K. Looney,O. Porter,G. Payton,238,95,121,720
D. White,J. Tatum,G. Williams,P. Pritchard,R. Williams,J. Poole,N. Bjelica,A. Wiggins,K. Thompson,D. Green,0,0,128,848
M. Smart,J. Tatum,P. Pritchard,R. Williams,J. Brown,J. Poole,N. Bjelica,A. Wiggins,K. Thompson,D. Green,145,48,119,992
M. Smart,J. Tatum,P. Pritchard,R. Williams,J. Brown,S. Curry,J. Poole,A. Wiggins,K. Thompson,D. Green,0,180,32,1024
M. Smart,J. Tatum,P. Pritchard,A. Horford,J. Brown,S. Curry,J. Poole,A. Wiggins,K. Thompson,D. Green,218,87,66,1090
D. White,M. Smart,J. Tatum,A. Horford,J. Brown,S. Curry,J. Poole,K. Looney,A. Wiggins,G. Payton,0,47,61,1151
D. White,M. Smart,J. Tatum,A. Horford,J. Brown,S. Curry,K. Looney,A. Wiggins,G. Payton,K. Thompson,233,51,111,1262
D. White,M. Smart,J. Tatum,A. Horford,R. Williams,S. Curry,K. Looney,D. Green,A. Wiggins,K. Thompson,88,88,162,1440
M. Smart,J. Tatum,A. Horford,R. Williams,J. Brown,S. Curry,O. Porter,D. Green,A. Wiggins,K. Thompson,102,113,253,1693
D. White,M. Smart,J. Tatum,R. Williams,J. Brown,S. Curry,K. Looney,D. Green,A. Wiggins,K. Thompson,112,112,77,1786
D. White,M. Smart,G. Williams,R. Williams,J. Brown,S. Curry,K. Looney,D. Green,A. Wiggins,K. Thompson,91,128,157,1943
D. White,M. Smart,J. Tatum,G. Williams,A. Horford,S. Curry,K. Looney,O. Porter,A. Wiggins,G. Payton,0,130,66,2009
D. White,M. Smart,J. Tatum,A. Horford,J. Brown,S. Curry,J. Poole,K. Looney,G. Payton,K. Thompson,169,0,34,2043
D. White,M. Smart,J. Tatum,G. Williams,A. Horford,S. Curry,J. Poole,K. Looney,G. Payton,K. Thompson,100,200,86,2129
D. White,M. Smart,J. Tatum,G. Williams,A. Horford,S. Curry,J. Poole,K. Looney,A. Wiggins,G. Payton,0,0,31,2160
D. White,J. Tatum,P. Pritchard,R. Williams,J. Brown,J. Poole,D. Green,N. Bjelica,A. Wiggins,K. Thompson,137,86,167,2327
D. White,J. Tatum,P. Pritchard,R. Williams,J. Brown,S. Curry,J. Poole,D. Green,N. Bjelica,A. Wiggins,0,85,67,2394
D. White,M. Smart,J. Tatum,R. Williams,J. Brown,S. Curry,J. Poole,D. Green,N. Bjelica,K. Thompson,338,0,34,2428
D. White,M. Smart,J. Tatum,R. Williams,J. Brown,S. Curry,J. Poole,K. Looney,A. Wiggins,K. Thompson,49,137,231,2659
D. White,M. Smart,J. Tatum,A. Horford,J. Brown,S. Curry,D. Green,K. Looney,A. Wiggins,K. Thompson,66,111,129,2824
