HOME_ROSTER_0,HOME_ROSTER_1,HOME_ROSTER_2,HOME_ROSTER_3,HOME_ROSTER_4,AWAY_ROSTER_0,AWAY_ROSTER_1,AWAY_ROSTER_2,AWAY_ROSTER_3,AWAY_ROSTER_4,HOME_SCORE_NORM48,AWAY_SCORE_NORM48,TIME_ELAPSED,TIME_ENDING
S. Curry,K. Looney,A. Wiggins,K. Thompson,D. Green,M. Smart,J. Tatum,A. Horford,R. Williams,J. Brown,157,110,365,365
S. Curry,J. Poole,K. Looney,A. Wiggins,K. Thompson,D. White,M. Smart,G. Williams,A. Horford,J. Brown,85,137,168,533
S. Curry,J. Poole,O. Porter,A. Wiggins,D. Green,D. White,M. Smart,G. Williams,A. Horford,J. Brown,92,0,31,564
S. Curry,J. Poole,O. Porter,A. Iguodala,D. Green,D. White,D. Theis,J. Tatum,G. Williams,P. Pritchard,110,110,156,720
J. Poole,O. Porter,A. Iguodala,K. Thompson,D. Green,D. White,D. Theis,J. Tatum,G. Williams,P. Pritchard,170,127,203,923
J. Poole,K. Looney,O. Porter,A. Wiggins,K. Thompson,M. Smart,J. Tatum,A. Horford,R. Williams,J. Brown,123,164,70,1021
S. Curry,J. Poole,K. Looney,O. Porter,A. Wiggins,M. Smart,J. Tatum,A. Horford,R. Williams,J. Brown,0,146,118,1139
S. Curry,K. Looney,A. Wiggins,K. Thompson,D. Green,D. White,M. Smart,A. Horford,R. Williams,J. Brown,67,0,85,1224
S. Curry,K. Looney,A. Wiggins,K. Thompson,D. Green,D. White,M. Smart,J. Tatum,A. Horford,J. Brown,0,135,64,1288
S. Curry,O. Porter,A. Wiggins,K. Thompson,D. Green,D. White,M. Smart,J. Tatum,A. Horford,J. Brown,145,145,99,1387
J. Poole,O. Porter,A. Wiggins,K. Thompson,D. Green,D. White,M. Smart,J. Tatum,A. Horford,J. Brown,0,54,53,1440
S. Curry,K. Looney,A. Wiggins,K. Thompson,D. Green,M. Smart,J. Tatum,A. Horford,R. Williams,J. Brown,162,76,301,1741
S. Curry,K. Looney,A. Wiggins,K. Thompson,D. Green,M. Smart,G. Williams,J. Tatum,A. Horford,J. Brown,83,0,69,1810
J. Poole,S. Curry,K. Looney,A. Wiggins,K. Thompson,D. White,M. Smart,G. Williams,J. Tatum,A. Horford,80,53,108,1918
J. Poole,S. Curry,O. Porter,A. Wiggins,D. Green,D. White,M. Smart,G. Williams,J. Tatum,A. Horford,271,203,85,2003
J. Poole,S. Curry,O. Porter,A. Wiggins,D. Green,D. White,G. Williams,J. Tatum,R. Williams,J. Brown,82,82,105,2108
J. Poole,O. Porter,A. Iguodala,K. Thompson,D. Green,D. White,G. Williams,P. Pritchard,R. Williams,J. Brown,329,164,35,2159
J. Poole,O. Porter,A. Iguodala,K. Thompson,D. Green,D. White,J. Tatum,P. Pritchard,R. Williams,J. Brown,0,139,145,2305
S. Curry,O. Porter,A. Iguodala,K. Thompson,D. Green,D. White,J. Tatum,P. Pritchard,R. Williams,J. Brown,143,159,181,2486
S. Curry,K. Looney,O. Porter,A. Wiggins,K. Thompson,D. White,J. Tatum,P. Pritchard,A. Horford,J. Brown,66,301,86,2572
S. Curry,K. Looney,A. Wiggins,K. Thompson,D. Green,D. White,J. Tatum,P. Pritchard,A. Horford,J. Brown,0,106,81,2653
J. Poole,S. Curry,A. Wiggins,K. Thompson,D. Green,D. White,M. Smart,J. Tatum,A. Horford,J. Brown,32,160,179,2832
